distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
28.00,5,26,21.5,12,,E10,0,0,0,45,E10
12.00,4.2,30,21.5,13,,E10,0,0,0,,
11.20,5.5,38,21.5,15,,E10,0,0,0,,
12.90,3.9,36,21.5,14,,E10,0,0,0,,
18.50,4.5,46,21.5,15,,E10,0,0,0,,
8.30,6.4,50,21.5,10,,E10,0,0,0,,
7.80,4.4,43,21.5,11,,E10,0,0,0,,
12.30,5,40,21.5,6,,E10,0,0,0,,
4.90,6.4,26,21.5,4,,E10,0,0,0,,
11.90,5.3,30,21.5,9,,E10,0,0,0,,
12.40,5.6,42,21.5,4,,E10,0,0,0,,
11.80,4.6,38,21.5,0,,E10,0,0,0,,
12.30,5.9,59,21.5,10,,E10,0,0,0,,
24.70,5.1,58,21.5,12,,E10,0,0,0,,
12.40,4.7,46,21.5,11,,E10,0,0,0,,
17.30,5.1,24,21.5,5,,E10,0,0,0,,
33.40,5.6,36,21.5,3,,E10,0,0,0,,
11.80,5.1,32,21.5,3,,E10,0,0,0,,
25.90,4.9,39,21.5,8,,E10,0,0,0,,
11.80,4.7,40,21.5,4,,E10,0,0,0,,
25.30,5.5,32,21.5,3,,E10,0,0,0,,
14.20,5.9,38,21.5,1,,E10,0,0,0,,
17.90,5.7,37,21.5,1,,E10,0,0,0,,
11.80,4.7,36,21.5,1,,E10,0,0,0,,
12.30,5.9,62,21.5,6,,E10,0,0,0,,
12.40,4.1,57,21.5,9,,E10,0,0,0,,
18.40,5.7,21,22.5,2,,E10,0,0,0,,
18.40,5.8,28,21.5,3,,E10,0,0,0,,
18.30,5.5,29,21.5,1,,E10,0,0,0,,
18.40,5.7,35,21.5,4,,E10,0,0,0,,
12.30,5.3,51,21.5,11,,E10,0,0,0,,
11.80,5,29,21.5,10,,E10,0,0,0,,
12.30,5.6,58,21.5,8,,E10,0,0,0,,
32.60,4.8,40,21.5,7,,E10,0,0,0,,
